BRAND,Year,Month,whole_sales
FAW,2018,3,21.0
RENAULT (PC),2018,3,26.0
PEUGEOT,2018,3,8.0
MAN TRUCK,2018,3,7.0
AUDI,2018,3,7.0
PROTON,2018,3,6.0
HYUNDAI KOMERSIAL,2018,3,
INFINITI,2018,3,
TOYOTA,2018,4,29360.0
DAIHATSU,2018,4,18869.0
HONDA,2018,4,17016.0
MITSUBISHI MOTORS,2018,4,12568.0
SUZUKI,2018,4,8505.0
MITSUBISHI FUSO,2018,4,5295.0
HINO,2018,4,3237.0
ISUZU,2018,4,2576.0
WULING,2018,4,1720.0
DATSUN,2018,4,726.0
NISSAN,2018,4,496.0
MAZDA,2018,4,536.0
UD TRUCKS,2018,4,300.0
CHEVROLET,2018,4,225.0
B M W,2018,4,265.0
HYUNDAI,2018,4,122.0
LEXUS,2018,4,136.0
DFSK,2018,4,30.0
TATA,2018,4,48.0
SCANIA,2018,4,53.0
MINI,2018,4,40.0
VOLKSWAGEN,2018,4,32.0
FAW,2018,4,37.0
RENAULT (PC),2018,4,157.0
PEUGEOT,2018,4,15.0
MAN TRUCK,2018,4,10.0
AUDI,2018,4,3.0
PROTON,2018,4,1.0
HYUNDAI KOMERSIAL,2018,4,
INFINITI,2018,4,
TOYOTA,2018,5,28950.0
DAIHATSU,2018,5,17733.0
HONDA,2018,5,14324.0
MITSUBISHI MOTORS,2018,5,12849.0
SUZUKI,2018,5,12555.0
MITSUBISHI FUSO,2018,5,4118.0
HINO,2018,5,3036.0
ISUZU,2018,5,1960.0
WULING,2018,5,1765.0
DATSUN,2018,5,710.0
NISSAN,2018,5,246.0
MAZDA,2018,5,780.0
UD TRUCKS,2018,5,301.0
CHEVROLET,2018,5,245.0
B M W,2018,5,315.0
HYUNDAI,2018,5,131.0
LEXUS,2018,5,63.0
DFSK,2018,5,30.0
TATA,2018,5,107.0
SCANIA,2018,5,108.0
MINI,2018,5,45.0
VOLKSWAGEN,2018,5,69.0
FAW,2018,5,26.0
RENAULT (PC),2018,5,35.0
PEUGEOT,2018,5,14.0
MAN TRUCK,2018,5,5.0
AUDI,2018,5,9.0
PROTON,2018,5,1.0
HYUNDAI KOMERSIAL,2018,5,
INFINITI,2018,5,
TOYOTA,2018,6,18642.0
DAIHATSU,2018,6,6720.0
HONDA,2018,6,9096.0
MITSUBISHI MOTORS,2018,6,6761.0
SUZUKI,2018,6,7515.0
MITSUBISHI FUSO,2018,6,3215.0
HINO,2018,6,2051.0
ISUZU,2018,6,1363.0
WULING,2018,6,1139.0
DATSUN,2018,6,812.0
NISSAN,2018,6,211.0
MAZDA,2018,6,198.0
UD TRUCKS,2018,6,222.0
CHEVROLET,2018,6,107.0
B M W,2018,6,200.0
HYUNDAI,2018,6,70.0
LEXUS,2018,6,125.0
DFSK,2018,6,109.0
TATA,2018,6,83.0
SCANIA,2018,6,108.0
MINI,2018,6,20.0
VOLKSWAGEN,2018,6,26.0
FAW,2018,6,20.0
RENAULT (PC),2018,6,15.0
PEUGEOT,2018,6,5.0
MAN TRUCK,2018,6,2.0
AUDI,2018,6,2.0
PROTON,2018,6,5.0
HYUNDAI KOMERSIAL,2018,6,
INFINITI,2018,6,
TOYOTA,2018,7,34984.0
DAIHATSU,2018,7,17964.0
HONDA,2018,7,15226.0
MITSUBISHI MOTORS,2018,7,13948.0
SUZUKI,2018,7,10503.0
MITSUBISHI FUSO,2018,7,5393.0
HINO,2018,7,3527.0
ISUZU,2018,7,1818.0
WULING,2018,7,1128.0
DATSUN,2018,7,868.0
NISSAN,2018,7,336.0
MAZDA,2018,7,564.0
UD TRUCKS,2018,7,277.0
CHEVROLET,2018,7,248.0
B M W,2018,7,105.0
HYUNDAI,2018,7,114.0
LEXUS,2018,7,81.0
DFSK,2018,7,71.0
TATA,2018,7,103.0
SCANIA,2018,7,56.0
MINI,2018,7,39.0
VOLKSWAGEN,2018,7,41.0
FAW,2018,7,35.0
RENAULT (PC),2018,7,12.0
PEUGEOT,2018,7,20.0
MAN TRUCK,2018,7,7.0
AUDI,2018,7,6.0
PROTON,2018,7,
HYUNDAI KOMERSIAL,2018,7,
INFINITI,2018,7,
TOYOTA,2018,8,31149.0
DAIHATSU,2018,8,17510.0
HONDA,2018,8,14862.0
MITSUBISHI MOTORS,2018,8,13284.0
SUZUKI,2018,8,10764.0
MITSUBISHI FUSO,2018,8,3855.0
HINO,2018,8,3609.0
ISUZU,2018,8,2606.0
WULING,2018,8,1908.0
DATSUN,2018,8,396.0
NISSAN,2018,8,85.0
MAZDA,2018,8,577.0
UD TRUCKS,2018,8,280.0
CHEVROLET,2018,8,229.0
B M W,2018,8,190.0
HYUNDAI,2018,8,205.0
LEXUS,2018,8,119.0
DFSK,2018,8,201.0
TATA,2018,8,104.0
SCANIA,2018,8,27.0
MINI,2018,8,95.0
VOLKSWAGEN,2018,8,69.0
FAW,2018,8,37.0
RENAULT (PC),2018,8,9.0
PEUGEOT,2018,8,10.0
MAN TRUCK,2018,8,6.0
AUDI,2018,8,5.0
PROTON,2018,8,
HYUNDAI KOMERSIAL,2018,8,
INFINITI,2018,8,
TOYOTA,2018,9,29821.0
DAIHATSU,2018,9,17110.0
HONDA,2018,9,10960.0
MITSUBISHI MOTORS,2018,9,11938.0
SUZUKI,2018,9,8880.0
MITSUBISHI FUSO,2018,9,4218.0
HINO,2018,9,3888.0
ISUZU,2018,9,2762.0
WULING,2018,9,1161.0
DATSUN,2018,9,439.0
NISSAN,2018,9,158.0
MAZDA,2018,9,477.0
UD TRUCKS,2018,9,300.0
CHEVROLET,2018,9,183.0
B M W,2018,9,210.0
HYUNDAI,2018,9,118.0
LEXUS,2018,9,162.0
DFSK,2018,9,208.0
TATA,2018,9,110.0
SCANIA,2018,9,67.0
MINI,2018,9,55.0
VOLKSWAGEN,2018,9,45.0
FAW,2018,9,20.0
RENAULT (PC),2018,9,8.0
PEUGEOT,2018,9,5.0
MAN TRUCK,2018,9,4.0
AUDI,2018,9,2.0
PROTON,2018,9,
HYUNDAI KOMERSIAL,2018,9,2.0
INFINITI,2018,9,
TOYOTA,2018,10,36119.0
DAIHATSU,2018,10,21026.0
HONDA,2018,10,15489.0
MITSUBISHI MOTORS,2018,10,11147.0
SUZUKI,2018,10,8514.0
MITSUBISHI FUSO,2018,10,4076.0
HINO,2018,10,3865.0
ISUZU,2018,10,2619.0
WULING,2018,10,1083.0
DATSUN,2018,10,377.0
NISSAN,2018,10,167.0
MAZDA,2018,10,397.0
UD TRUCKS,2018,10,310.0
CHEVROLET,2018,10,161.0
B M W,2018,10,171.0
HYUNDAI,2018,10,127.0
LEXUS,2018,10,90.0
DFSK,2018,10,109.0
TATA,2018,10,29.0
SCANIA,2018,10,53.0
MINI,2018,10,60.0
VOLKSWAGEN,2018,10,35.0
FAW,2018,10,32.0
RENAULT (PC),2018,10,2.0
PEUGEOT,2018,10,12.0
MAN TRUCK,2018,10,4.0
AUDI,2018,10,6.0
PROTON,2018,10,
HYUNDAI KOMERSIAL,2018,10,
INFINITI,2018,10,
TOYOTA,2018,11,31981.0
DAIHATSU,2018,11,17910.0
HONDA,2018,11,15845.0
MITSUBISHI MOTORS,2018,11,10140.0
SUZUKI,2018,11,10107.0
MITSUBISHI FUSO,2018,11,3743.0
HINO,2018,11,4072.0
ISUZU,2018,11,2508.0
WULING,2018,11,1277.0
DATSUN,2018,11,501.0
NISSAN,2018,11,819.0
MAZDA,2018,11,457.0
UD TRUCKS,2018,11,280.0
CHEVROLET,2018,11,162.0
B M W,2018,11,220.0
HYUNDAI,2018,11,128.0
LEXUS,2018,11,86.0
DFSK,2018,11,137.0
TATA,2018,11,155.0
SCANIA,2018,11,33.0
MINI,2018,11,50.0
VOLKSWAGEN,2018,11,40.0
FAW,2018,11,31.0
RENAULT (PC),2018,11,1.0
PEUGEOT,2018,11,34.0
MAN TRUCK,2018,11,3.0
AUDI,2018,11,4.0
PROTON,2018,11,3.0
HYUNDAI KOMERSIAL,2018,11,
INFINITI,2018,11,
TOYOTA,2018,12,26661.0
DAIHATSU,2018,12,16289.0
HONDA,2018,12,13087.0
MITSUBISHI MOTORS,2018,12,8895.0
SUZUKI,2018,12,8316.0
MITSUBISHI FUSO,2018,12,3572.0
HINO,2018,12,3881.0
ISUZU,2018,12,2491.0
WULING,2018,12,2325.0
DATSUN,2018,12,231.0
NISSAN,2018,12,507.0
MAZDA,2018,12,413.0
UD TRUCKS,2018,12,321.0
CHEVROLET,2018,12,299.0
B M W,2018,12,118.0
HYUNDAI,2018,12,106.0
LEXUS,2018,12,11.0
DFSK,2018,12,102.0
TATA,2018,12,72.0
SCANIA,2018,12,23.0
MINI,2018,12,35.0
VOLKSWAGEN,2018,12,11.0
FAW,2018,12,35.0
RENAULT (PC),2018,12,
PEUGEOT,2018,12,5.0
MAN TRUCK,2018,12,6.0
AUDI,2018,12,1.0
PROTON,2018,12,33.0
HYUNDAI KOMERSIAL,2018,12,
INFINITI,2018,12,
TOYOTA,2019,1,25081.0
DAIHATSU,2019,1,14769.0
HONDA,2019,1,10064.0
MITSUBISHI MOTORS,2019,1,11712.0
SUZUKI,2019,1,8271.0
MITSUBISHI FUSO,2019,1,4671.0
HINO,2019,1,2756.0
ISUZU,2019,1,2343.0
WULING,2019,1,360.0
NISSAN,2019,1,387.0
DATSUN,2019,1,258.0
MAZDA,2019,1,428.0
DFSK,2019,1,103.0
MERCEDES BENZ CV,2019,1,167.0
B M W,2019,1,175.0
UD TRUCKS,2019,1,180.0
CHEVROLET,2019,1,113.0
LEXUS,2019,1,9.0
HYUNDAI,2019,1,88.0
TATA,2019,1,99.0
MINI,2019,1,35.0
MERCEDES BENZ PC,2019,1,
SCANIA,2019,1,41.0
VOLKSWAGEN,2019,1,15.0
FAW,2019,1,16.0
RENAULT MAXINDO,2019,1,
PEUGEOT,2019,1,
AUDI,2019,1,3.0
MAN TRUCK,2019,1,8.0
RENAULT AUTO EURO,2019,1,3.0
PROTON,2019,1,
INFINITI,2019,1,
HYUNDAI KOMERSIAL,2019,1,
TOYOTA,2019,2,23443.0
DAIHATSU,2019,2,16305.0
HONDA,2019,2,10637.0
MITSUBISHI MOTORS,2019,2,10704.0
SUZUKI,2019,2,8307.0
MITSUBISHI FUSO,2019,2,3916.0
HINO,2019,2,2723.0
ISUZU,2019,2,1805.0
WULING,2019,2,1199.0
NISSAN,2019,2,343.0
DATSUN,2019,2,632.0
MAZDA,2019,2,429.0
DFSK,2019,2,156.0
MERCEDES BENZ CV,2019,2,166.0
B M W,2019,2,175.0
UD TRUCKS,2019,2,250.0
CHEVROLET,2019,2,179.0
LEXUS,2019,2,112.0
HYUNDAI,2019,2,104.0
TATA,2019,2,74.0
MINI,2019,2,40.0
MERCEDES BENZ PC,2019,2,
SCANIA,2019,2,55.0
VOLKSWAGEN,2019,2,31.0
FAW,2019,2,10.0
RENAULT MAXINDO,2019,2,
PEUGEOT,2019,2,9.0
AUDI,2019,2,1.0
MAN TRUCK,2019,2,3.0
RENAULT AUTO EURO,2019,2,1.0
PROTON,2019,2,
INFINITI,2019,2,
HYUNDAI KOMERSIAL,2019,2,
TOYOTA,2019,3,28732.0
DAIHATSU,2019,3,19625.0
HONDA,2019,3,8144.0
MITSUBISHI MOTORS,2019,3,13164.0
SUZUKI,2019,3,6291.0
MITSUBISHI FUSO,2019,3,2957.0
HINO,2019,3,2670.0
ISUZU,2019,3,1812.0
WULING,2019,3,1194.0
NISSAN,2019,3,3172.0
DATSUN,2019,3,674.0
MAZDA,2019,3,434.0
DFSK,2019,3,161.0
MERCEDES BENZ CV,2019,3,205.0
B M W,2019,3,200.0
UD TRUCKS,2019,3,231.0
CHEVROLET,2019,3,217.0
LEXUS,2019,3,170.0
HYUNDAI,2019,3,81.0
TATA,2019,3,66.0
MINI,2019,3,50.0
MERCEDES BENZ PC,2019,3,
SCANIA,2019,3,52.0
VOLKSWAGEN,2019,3,27.0
FAW,2019,3,16.0
RENAULT MAXINDO,2019,3,
PEUGEOT,2019,3,14.0
AUDI,2019,3,4.0
MAN TRUCK,2019,3,3.0
RENAULT AUTO EURO,2019,3,2.0
PROTON,2019,3,
INFINITI,2019,3,
HYUNDAI KOMERSIAL,2019,3,
TOYOTA,2019,4,29408.0
DAIHATSU,2019,4,16126.0
HONDA,2019,4,11631.0
MITSUBISHI MOTORS,2019,4,7832.0
SUZUKI,2019,4,7677.0
MITSUBISHI FUSO,2019,4,2244.0
HINO,2019,4,2198.0
ISUZU,2019,4,1817.0
WULING,2019,4,1533.0
NISSAN,2019,4,902.0
DATSUN,2019,4,885.0
MAZDA,2019,4,434.0
DFSK,2019,4,152.0
MERCEDES BENZ CV,2019,4,207.0
B M W,2019,4,148.0
UD TRUCKS,2019,4,228.0
CHEVROLET,2019,4,153.0
LEXUS,2019,4,131.0
HYUNDAI,2019,4,157.0
TATA,2019,4,42.0
MINI,2019,4,50.0
MERCEDES BENZ PC,2019,4,
SCANIA,2019,4,43.0
VOLKSWAGEN,2019,4,4.0
FAW,2019,4,30.0
RENAULT MAXINDO,2019,4,
PEUGEOT,2019,4,9.0
AUDI,2019,4,4.0
MAN TRUCK,2019,4,3.0
RENAULT AUTO EURO,2019,4,8.0
PROTON,2019,4,
INFINITI,2019,4,
HYUNDAI KOMERSIAL,2019,4,
TOYOTA,2019,5,29103.0
DAIHATSU,2019,5,14178.0
HONDA,2019,5,11048.0
MITSUBISHI MOTORS,2019,5,9228.0
SUZUKI,2019,5,8775.0
MITSUBISHI FUSO,2019,5,2533.0
HINO,2019,5,1673.0
ISUZU,2019,5,1682.0
WULING,2019,5,2055.0
NISSAN,2019,5,1204.0
DATSUN,2019,5,598.0
MAZDA,2019,5,470.0
DFSK,2019,5,338.0
MERCEDES BENZ CV,2019,5,182.0
B M W,2019,5,210.0
UD TRUCKS,2019,5,199.0
CHEVROLET,2019,5,140.0
LEXUS,2019,5,114.0
HYUNDAI,2019,5,140.0
TATA,2019,5,37.0
MINI,2019,5,50.0
MERCEDES BENZ PC,2019,5,
SCANIA,2019,5,49.0
VOLKSWAGEN,2019,5,17.0
FAW,2019,5,35.0
RENAULT MAXINDO,2019,5,34.0
PEUGEOT,2019,5,7.0
AUDI,2019,5,2.0
MAN TRUCK,2019,5,
RENAULT AUTO EURO,2019,5,8.0
PROTON,2019,5,
INFINITI,2019,5,
HYUNDAI KOMERSIAL,2019,5,
TOYOTA,2019,6,18541.0
DAIHATSU,2019,6,6020.0
HONDA,2019,6,7563.0
MITSUBISHI MOTORS,2019,6,9176.0
SUZUKI,2019,6,7236.0
MITSUBISHI FUSO,2019,6,2792.0
HINO,2019,6,1656.0
ISUZU,2019,6,1823.0
WULING,2019,6,1426.0
NISSAN,2019,6,1168.0
DATSUN,2019,6,797.0
MAZDA,2019,6,182.0
DFSK,2019,6,401.0
MERCEDES BENZ CV,2019,6,105.0
B M W,2019,6,131.0
UD TRUCKS,2019,6,151.0
CHEVROLET,2019,6,68.0
LEXUS,2019,6,84.0
HYUNDAI,2019,6,67.0
TATA,2019,6,48.0
MINI,2019,6,50.0
MERCEDES BENZ PC,2019,6,
SCANIA,2019,6,44.0
VOLKSWAGEN,2019,6,23.0
FAW,2019,6,11.0
RENAULT MAXINDO,2019,6,28.0
PEUGEOT,2019,6,6.0
AUDI,2019,6,2.0
MAN TRUCK,2019,6,1.0
RENAULT AUTO EURO,2019,6,
PROTON,2019,6,
INFINITI,2019,6,
HYUNDAI KOMERSIAL,2019,6,
TOYOTA,2019,7,29362.0
DAIHATSU,2019,7,13013.0
HONDA,2019,7,13894.0
MITSUBISHI MOTORS,2019,7,10916.0
SUZUKI,2019,7,8172.0
MITSUBISHI FUSO,2019,7,3684.0
HINO,2019,7,2458.0
ISUZU,2019,7,1838.0
WULING,2019,7,2191.0
NISSAN,2019,7,1171.0
DATSUN,2019,7,442.0
MAZDA,2019,7,514.0
DFSK,2019,7,469.0
MERCEDES BENZ CV,2019,7,115.0
B M W,2019,7,271.0
UD TRUCKS,2019,7,190.0
CHEVROLET,2019,7,26.0
LEXUS,2019,7,139.0
HYUNDAI,2019,7,142.0
TATA,2019,7,30.0
MINI,2019,7,70.0
MERCEDES BENZ PC,2019,7,
SCANIA,2019,7,46.0
VOLKSWAGEN,2019,7,38.0
FAW,2019,7,25.0
RENAULT MAXINDO,2019,7,26.0
PEUGEOT,2019,7,7.0
AUDI,2019,7,1.0
MAN TRUCK,2019,7,2.0
RENAULT AUTO EURO,2019,7,2.0
PROTON,2019,7,
INFINITI,2019,7,
HYUNDAI KOMERSIAL,2019,7,
TOYOTA,2019,8,28929.0
DAIHATSU,2019,8,15415.0
HONDA,2019,8,11909.0
MITSUBISHI MOTORS,2019,8,10477.0
SUZUKI,2019,8,8622.0
MITSUBISHI FUSO,2019,8,3763.0
HINO,2019,8,2971.0
ISUZU,2019,8,2360.0
WULING,2019,8,1849.0
NISSAN,2019,8,1228.0
DATSUN,2019,8,645.0
MAZDA,2019,8,463.0
DFSK,2019,8,408.0
MERCEDES BENZ CV,2019,8,129.0
B M W,2019,8,301.0
UD TRUCKS,2019,8,345.0
CHEVROLET,2019,8,24.0
LEXUS,2019,8,230.0
HYUNDAI,2019,8,159.0
TATA,2019,8,101.0
MINI,2019,8,75.0
MERCEDES BENZ PC,2019,8,
SCANIA,2019,8,28.0
VOLKSWAGEN,2019,8,55.0
FAW,2019,8,26.0
RENAULT MAXINDO,2019,8,37.0
PEUGEOT,2019,8,10.0
AUDI,2019,8,3.0
MAN TRUCK,2019,8,1.0
RENAULT AUTO EURO,2019,8,5.0
PROTON,2019,8,
INFINITI,2019,8,
HYUNDAI KOMERSIAL,2019,8,
TOYOTA,2019,9,31831.0
DAIHATSU,2019,9,17537.0
HONDA,2019,9,12431.0
MITSUBISHI MOTORS,2019,9,8534.0
SUZUKI,2019,9,8118.0
MITSUBISHI FUSO,2019,9,4178.0
HINO,2019,9,3129.0
ISUZU,2019,9,2077.0
WULING,2019,9,2000.0
NISSAN,2019,9,951.0
DATSUN,2019,9,488.0
MAZDA,2019,9,340.0
DFSK,2019,9,451.0
MERCEDES BENZ CV,2019,9,247.0
B M W,2019,9,262.0
UD TRUCKS,2019,9,120.0
CHEVROLET,2019,9,50.0
LEXUS,2019,9,96.0
HYUNDAI,2019,9,104.0
TATA,2019,9,36.0
MINI,2019,9,80.0
MERCEDES BENZ PC,2019,9,
SCANIA,2019,9,19.0
VOLKSWAGEN,2019,9,24.0
FAW,2019,9,26.0
RENAULT MAXINDO,2019,9,19.0
PEUGEOT,2019,9,16.0
AUDI,2019,9,6.0
MAN TRUCK,2019,9,5.0
RENAULT AUTO EURO,2019,9,
PROTON,2019,9,
INFINITI,2019,9,
HYUNDAI KOMERSIAL,2019,9,
TOYOTA,2019,10,30944.0
DAIHATSU,2019,10,17530.0
HONDA,2019,10,14503.0
MITSUBISHI MOTORS,2019,10,8569.0
SUZUKI,2019,10,8721.0
MITSUBISHI FUSO,2019,10,5414.0
HINO,2019,10,2885.0
ISUZU,2019,10,2481.0
WULING,2019,10,1976.0
NISSAN,2019,10,480.0
DATSUN,2019,10,502.0
MAZDA,2019,10,418.0
DFSK,2019,10,443.0
MERCEDES BENZ CV,2019,10,165.0
B M W,2019,10,260.0
UD TRUCKS,2019,10,112.0
CHEVROLET,2019,10,22.0
LEXUS,2019,10,198.0
HYUNDAI,2019,10,135.0
TATA,2019,10,145.0
MINI,2019,10,65.0
MERCEDES BENZ PC,2019,10,
SCANIA,2019,10,26.0
VOLKSWAGEN,2019,10,29.0
FAW,2019,10,46.0
RENAULT MAXINDO,2019,10,37.0
PEUGEOT,2019,10,15.0
AUDI,2019,10,3.0
MAN TRUCK,2019,10,4.0
RENAULT AUTO EURO,2019,10,
PROTON,2019,10,
INFINITI,2019,10,
HYUNDAI KOMERSIAL,2019,10,
TOYOTA,2019,11,28970.0
DAIHATSU,2019,11,15911.0
HONDA,2019,11,13210.0
MITSUBISHI MOTORS,2019,11,8883.0
SUZUKI,2019,11,10077.0
MITSUBISHI FUSO,2019,11,3091.0
HINO,2019,11,2834.0
ISUZU,2019,11,2664.0
WULING,2019,11,1948.0
NISSAN,2019,11,707.0
DATSUN,2019,11,438.0
MAZDA,2019,11,430.0
DFSK,2019,11,286.0
MERCEDES BENZ CV,2019,11,256.0
B M W,2019,11,282.0
UD TRUCKS,2019,11,139.0
CHEVROLET,2019,11,413.0
LEXUS,2019,11,117.0
HYUNDAI,2019,11,105.0
TATA,2019,11,50.0
MINI,2019,11,85.0
MERCEDES BENZ PC,2019,11,186.0
SCANIA,2019,11,11.0
VOLKSWAGEN,2019,11,70.0
FAW,2019,11,14.0
RENAULT MAXINDO,2019,11,40.0
PEUGEOT,2019,11,18.0
AUDI,2019,11,3.0
MAN TRUCK,2019,11,2.0
RENAULT AUTO EURO,2019,11,
PROTON,2019,11,
INFINITI,2019,11,
HYUNDAI KOMERSIAL,2019,11,
TOYOTA,2019,12,27453.0
DAIHATSU,2019,12,10855.0
HONDA,2019,12,12305.0
MITSUBISHI MOTORS,2019,12,9816.0
SUZUKI,2019,12,10116.0
MITSUBISHI FUSO,2019,12,3511.0
HINO,2019,12,3115.0
ISUZU,2019,12,2568.0
WULING,2019,12,4612.0
NISSAN,2019,12,589.0
DATSUN,2019,12,128.0
MAZDA,2019,12,342.0
DFSK,2019,12,489.0
MERCEDES BENZ CV,2019,12,751.0
B M W,2019,12,85.0
UD TRUCKS,2019,12,126.0
CHEVROLET,2019,12,124.0
LEXUS,2019,12,25.0
HYUNDAI,2019,12,83.0
TATA,2019,12,82.0
MINI,2019,12,50.0
MERCEDES BENZ PC,2019,12,331.0
SCANIA,2019,12,4.0
VOLKSWAGEN,2019,12,17.0
FAW,2019,12,36.0
RENAULT MAXINDO,2019,12,29.0
PEUGEOT,2019,12,18.0
AUDI,2019,12,4.0
MAN TRUCK,2019,12,
RENAULT AUTO EURO,2019,12,
PROTON,2019,12,
INFINITI,2019,12,
HYUNDAI KOMERSIAL,2019,12,
TOYOTA,2020,1,24119.0
DAIHATSU,2020,1,14173.0
HONDA,2020,1,12777.0
SUZUKI,2020,1,10512.0
MITSUBISHI MOTORS,2020,1,9179.0
MITSUBISHI FUSO,2020,1,3116.0
ISUZU,2020,1,2331.0
HINO,2020,1,1465.0
NISSAN,2020,1,585.0
WULING,2020,1,489.0
MAZDA,2020,1,297.0
MERCEDES-BENZ PC,2020,1,124.0
B M  W,2020,1,155.0
DFSK,2020,1,243.0
LEXUS,2020,1,32.0
K I A,2020,1,54.0
MERCEDES-BENZ CV,2020,1,95.0
HYUNDAI - HIM,2020,1,130.0
UD TRUCKS,2020,1,47.0
VOLKSWAGEN,2020,1,123.0
MINI,2020,1,32.0
MORRIS GARAGE,2020,1,
RENAULT,2020,1,15.0
DATSUN,2020,1,226.0
TATA,2020,1,55.0
FAW,2020,1,18.0
SCANIA,2020,1,11.0
HYUNDAI - HMID,2020,1,
PEUGEOT,2020,1,17.0
CHEVROLET,2020,1,11.0
AUDI,2020,1,3.0
MAN TRUCK,2020,1,1.0
INFINITI,2020,1,
RENAULT AUTO EURO,2020,1,
PROTON,2020,1,
BYD,2020,1,
HONGYAN,2020,1,
TOYOTA,2020,2,25053.0
DAIHATSU,2020,2,15778.0
HONDA,2020,2,11373.0
SUZUKI,2020,2,8613.0
MITSUBISHI MOTORS,2020,2,7811.0
MITSUBISHI FUSO,2020,2,3092.0
ISUZU,2020,2,2044.0
HINO,2020,2,2004.0
NISSAN,2020,2,845.0
WULING,2020,2,875.0
MAZDA,2020,2,437.0
MERCEDES-BENZ PC,2020,2,221.0
B M  W,2020,2,215.0
DFSK,2020,2,304.0
LEXUS,2020,2,127.0
K I A,2020,2,128.0
MERCEDES-BENZ CV,2020,2,139.0
HYUNDAI - HIM,2020,2,70.0
UD TRUCKS,2020,2,60.0
VOLKSWAGEN,2020,2,114.0
MINI,2020,2,50.0
MORRIS GARAGE,2020,2,
RENAULT,2020,2,14.0
DATSUN,2020,2,47.0
TATA,2020,2,100.0
FAW,2020,2,48.0
SCANIA,2020,2,44.0
HYUNDAI - HMID,2020,2,
PEUGEOT,2020,2,31.0
CHEVROLET,2020,2,5.0
AUDI,2020,2,1.0
MAN TRUCK,2020,2,1.0
INFINITI,2020,2,
RENAULT AUTO EURO,2020,2,
PROTON,2020,2,
BYD,2020,2,
HONGYAN,2020,2,
TOYOTA,2020,3,26191.0
DAIHATSU,2020,3,18162.0
HONDA,2020,3,12068.0
SUZUKI,2020,3,5085.0
MITSUBISHI MOTORS,2020,3,7582.0
MITSUBISHI FUSO,2020,3,2777.0
ISUZU,2020,3,1325.0
HINO,2020,3,1168.0
NISSAN,2020,3,600.0
WULING,2020,3,384.0
MAZDA,2020,3,208.0
MERCEDES-BENZ PC,2020,3,221.0
B M  W,2020,3,253.0
DFSK,2020,3,101.0
LEXUS,2020,3,155.0
K I A,2020,3,73.0
MERCEDES-BENZ CV,2020,3,103.0
HYUNDAI - HIM,2020,3,33.0
UD TRUCKS,2020,3,63.0
VOLKSWAGEN,2020,3,48.0
MINI,2020,3,35.0
MORRIS GARAGE,2020,3,
